Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (ZAR),Impressions,Impressions click-through rate (%)
mMZQG-dBcmc,"Maths Lit - Paper 2 Nov 2022 (Q4.3. - income, expenses & break-even)","Jul 29, 2023",446,4542,245.2856,11,44.569,39445,4.52
Gt-1nRoVOKg,"Maths Lit - Paper 1 Nov 2022 (Q5.2. - exchange rates, interest & ratios)","Jun 25, 2023",865,4531,353.0825,24,61.428,26057,8.24
VjDpgUtVSPg,Maths Lit - Paper 2 Nov 2019 (Q2.3 - exchange rates),"Aug 16, 2020",474,4251,269.2535,15,38.557,31152,6.25
zo2iOeo1uJg,Maths Lit - Paper 1 Nov 2023 (Q3.2. - percentiles & measurement),"Oct 16, 2024",334,4078,201.0559,15,40.433,26849,8.02
8ipRl9IFSJM,"Maths Lit - Paper 2 Nov 2021 (Q2 - floor plan interpretation, probability & measurement)","Nov 3, 2023",712,4044,336.0689,15,54.414,37031,4.42
Ok710lTF-Uw,Maths Lit - Paper 1 Nov 2019 (Q1.1 - data handling),"Aug 23, 2020",672,3864,215.8301,12,55.643,28207,5.51
f2ndhpNguaU,Maths Core - Paper 1 Nov 2019 (Q11 - probability),"Sep 12, 2020",900,3839,308.4142,51,53.201,37348,5.52
XQTzcCp1chI,Maths Lit - Paper 2 Nov 2019 (Q4.1 - data handling & probability),"Aug 22, 2020",894,3832,318.9435,13,33.98,32740,5.7
b2HpNFh_LuM,"Maths Lit - Paper 2 Nov 2018 (Q3.1 - map interpretation, ratios, speed, distance & time)","Nov 7, 2020",895,3741,321.4787,16,54.178,35836,4.91
WoHRQR5QqjQ,Maths Lit - Paper 1 Nov 2022 (Q3.2. - data handling),"Jun 18, 2023",551,3704,274.6737,11,51.149,31614,3.53
CwKvMuhHxj4,Maths Lit - Paper 1 Nov 2022 (Q4.1. - tax),"Jun 18, 2023",511,3699,251.3968,12,40.771,28835,4.54
2wdWM-t0LcM,"Maths Lit - Paper 1 Nov 2023 (Q2.3. - income, expenditure & surplus/deficit)","Oct 16, 2024",696,3583,297.4051,20,60.639,27817,5.58
6Cr2PdefpH4,Maths Lit - Paper 2 Nov 2019 (Q1.4 - tariffs & cost comparison),"Sep 17, 2020",899,3569,238.5212,26,25.261,33933,5.03
YXvWvFlsNqw,Maths Core - Paper 2 Nov 2019 (Q1 - analytical geometry),"Oct 8, 2020",996,3451,215.6799,28,50.22,29861,4.85
B-fnC0x14KY,Maths Core - Paper 1 Nov 2020 (Q1 - algebra & factorization),"Oct 10, 2022",881,3397,205.4393,46,61.682,18187,6.48
KjHcGNGhRQk,"Maths Lit - Paper 1 Nov 2022 (Q4.2. - pie charts, interquartile range, inflation & probability)","Jun 23, 2023",887,3358,318.9652,8,43.257,28647,4.18
NmwvmKx7nTg,"Maths Lit - Paper 2 Nov 2022 (Q5.3. + 5.4. - ticket prices, discount, speed, distance & time)","Jul 29, 2023",564,3338,218.5834,16,38.916,16879,6.51
mjRsTUCbM58,Maths Lit - Paper 2 Nov 2019 (Q4.2 - finance and data handling),"Aug 22, 2020",543,3320,204.6647,10,26.621,27828,5.26
UejeftFir1o,Maths Core - Paper 1 Nov 2019 (Q1 - factorization),"Sep 15, 2020",1074,3316,190.2847,40,52.571,23136,5.74
QHHnGDQgCcA,"Maths Lit - Paper 2 Nov 2021 (Q1.2. + 1.3. - time, measurement & volume)","Nov 3, 2023",318,3284,144.8272,6,36.157,22574,5.2
8hOazxW9ihg,"Maths Lit - Paper 2 Nov 2017 (Q4.1 - chart reading, speed, distance & time)","Nov 14, 2020",454,3276,187.4116,12,35.997,38683,4.02
Oo3F76ZcxlU,"Maths Lit - Paper 2 Nov 2019 (Q1.2 - volume, corrected)","Aug 16, 2020",100,3259,48.6149,7,29.064,24077,6.28
_BZa2hZrbLU,Maths Lit - Paper 1 Nov 2019 (Q4.2 - maps),"Aug 11, 2020",318,3250,124.3138,10,30.653,23008,6.23
NxHDIONbhtc,Maths Core - Paper 2 Nov 2019 (Q3 - analytical geometry),"Oct 27, 2020",1316,3221,326.0877,36,33.765,31908,4.67
ihCWyRTf8gk,Maths Lit - Paper 1 Nov 2018 (Q2.1 - fees statement interpretation),"Aug 27, 2020",671,3219,221.8319,15,23.707,26221,5.26
h8NoRqQ6vVU,Maths Lit - Paper 2 Nov 2017 (Q2.1 - ratio & cost comparison),"Nov 13, 2020",438,3190,162.4419,4,25.233,33627,4.14
