Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (ZAR),Impressions,Impressions click-through rate (%)
m7YR6dqwk8U,Maths Lit - Paper 2 Nov 2024 (Q1.3. - model interpretation & measurement),"Nov 1, 2025",283,1205,38.6295,1,9.191,12393,5.37
nrOs0LFLUGQ,Maths Core - Paper 1 Nov 2020 (Q2 part 2 - finance),"Oct 10, 2022",205,1187,25.9446,3,13.776,18439,2.83
JtB6N2xeKEE,Maths Core - Paper 2 Nov 2019 (Q10.2 - a bit of everything geometry),"Nov 13, 2020",988,1180,89.7036,11,6.099,21094,2.83
D9Ugy21lQr0,Maths Core - Paper 1 Nov 2020 (Q3 - functions),"Oct 10, 2022",607,1141,81.4775,2,13.074,16138,3.33
lvnDxqiKWQg,Maths Lit - Paper 2 Nov 2019 (Q1.6 - measurement),"Sep 21, 2020",609,1118,81.4048,2,12.022,17179,2.62
6H3muPUFS6g,"Maths Lit - Paper 1 Nov 2024 (Q3.1. - graphs, percentages, probability & interpretation)","Sep 2, 2025",649,1112,72.0666,1,15.606,7175,5.23
6JmEDoeB50s,Maths Core - Paper 2 Nov 2019 (Q10 - geometry: finding angles & lengths using trig),"Nov 14, 2020",460,1111,46.2741,2,8.473,34296,1.75
Lm77lbSo6fg,Maths Core - Paper 1 Nov 2019 (Q3 - derivatives),"Sep 19, 2020",990,1111,98.4985,7,16.643,19860,3.03
tbuS-IAyhaE,"Maths Lit - Paper 2 Nov 2024 (Q5.1. + 5.2. - distance, speed, time, ratios & conversions)","Nov 1, 2025",735,1110,80.4527,1,13.675,13106,4.8
FJzHXIB-wkc,Maths Core - Paper 1 Nov 2019 (Q6 - functions),"Sep 28, 2020",709,1108,77.2469,4,11.21,18363,3.49
B9HwQVamWMc,Maths Core - Paper 2 Nov 2019 (Q2 - statistics: frequency tables & ogive graphs),"Oct 7, 2020",992,1104,120.2382,6,8.235,17771,3.37
p1OPXsOrsYc,Maths Core - Paper 1 Nov 2019 (Q4 - sequences & series),"Sep 21, 2020",1146,1100,107.1847,4,17.628,20457,2.82
3sCmYdeTUPE,Maths Core - Paper 2 Nov 2019 (Q11 - solving for x using tan chord theorem & isosceles triangles),"Nov 14, 2020",280,1098,35.6973,3,6.801,35866,1.52
zhs_RRn0A6M,Maths Lit - Paper 1 Nov 2024 (Q2.1. - tariffs & VAT),"Sep 2, 2025",442,1095,75.5862,3,10.522,9228,5.45
xVPorujbtmk,Maths Core - Paper 2 Nov 2019 (8b part 1 - isosceles triangles & similarity),"Nov 12, 2020",781,1066,87.5595,1,9.63,23054,2.58
yQzYu9_KgFI,Maths Core - Paper 2 Nov 2019 (Q5.4 - trig: reduction formula),"Nov 9, 2020",328,1041,49.0099,3,4.078,18110,2.23
SfHsSEGRtaA,Maths Lit - Paper 1 Nov 2017 (Q2.1. - chart reading & VAT),"Nov 2, 2022",399,1036,50.5121,3,13.289,15035,2.93
M1bnMPrCADY,Maths Lit - Paper 2 Nov 2019 (Q2.1 - data handling),"Sep 26, 2020",856,1035,75.0102,6,8.048,17750,2.25
9VtPy58KHd4,Maths Core - Paper 2 Nov 2019 (8b part 2 - similarity & prop theorem),"Nov 12, 2020",312,1017,30.1073,2,8.724,20824,2.42
SrllymoSyqA,Maths Core - Paper 1 Nov 2020 (Q7 part 2 - cubics),"Oct 10, 2022",243,1005,30.873,4,8.73,13486,3.71
bW4M11gsmoo,Maths Core - Paper 1 Nov 2019 (Q8 - functions & quadratic formula),"Oct 1, 2020",1313,1003,115.8076,4,10.612,17524,3.23
vwhpjy2lADQ,"Maths Lit - Paper 2 Nov 2024 (Q2.1. - map interpretation, direction, probability & scale)","Nov 1, 2025",679,997,75.6575,1,11.436,11078,4.34
5n6Z3M2uE88,Maths Lit - Paper 1 Nov 2017 (Q3.2. - area),"Nov 2, 2022",238,995,31.0469,1,12.087,16189,2.85
MT_s_wJsxmw,Maths Lit - Paper 1 Nov 2019 (Q3.2 - volume),"Aug 27, 2020",689,988,68.25,3,6.62,14049,3.35
m31-UU2eB2Y,Maths Lit - Paper 1 Nov 2024 (Q1.2.. - costing & ratios),"Sep 2, 2025",492,931,63.1533,4,23.447,8324,4.77
o9TyhxRNdBE,Maths Core - Paper 1 Nov 2019 (Q9 part 2 - functions: cubic & hyperbola),"Oct 18, 2020",599,928,49.2151,2,8.982,17911,2.58
Tof2kROdXas,Maths Lit - Paper 2 Nov 2019 (Q3.1 - conversions),"Oct 1, 2020",500,927,49.621,6,5.669,15203,2.34
Kx8rRx-vPmk,Maths Core - Paper 1 Nov 2020 (Q5 part 1 - functions),"Oct 10, 2022",444,916,50.3552,3,9.962,16640,2.61
RdsEAViY698,Maths Core - Paper 2 Nov 2019 (Q9b - geometry of circles & tangents),"Nov 14, 2020",541,915,47.8213,0,6.653,30470,1.66
QSqiBeCvk2A,"Maths Lit - Paper 1 Nov 2024 (Q5.2. +. 5.3. - exchange rates, conversions & inflation rates)","Sep 2, 2025",548,914,48.955,7,13.871,6196,8.07
5iqJgs-s1iY,Maths Lit - Paper 2 Nov 2019 (Q4.4 - exchange rates & VAT),"Oct 5, 2020",738,894,51.4056,1,4.821,11738,3.21
fMqnpLfa1xE,Maths Core - Paper 1 Nov 2019 (Q5 - quadratic series),"Sep 26, 2020",646,894,48.6902,5,10.846,19093,2.23
HQhdqHJwkQA,Maths Lit - Paper 1 Nov 2024 (Q2.3. - tax),"Sep 2, 2025",378,884,43.5113,1,8.98,6694,4.6
pZxU3liWZ8c,Maths Lit - Paper 1 Nov 2019 (Q1.5 - measurement & conversions),"Aug 24, 2020",454,881,53.5977,3,9.878,14199,2.66
ssilpAcix8A,Maths Core - Paper 1 Nov 2020 (Q10 - finance),"Oct 10, 2022",806,879,62.3816,4,15.922,16001,3.04
bIC5bGI0GLo,Maths Lit - Paper 1 Nov 2024 (Q1.3. - definitions),"Sep 2, 2025",251,872,25.2067,2,8.622,9566,3.81
30FyMLkVXHM,Maths Lit - Paper 2 Nov 2019 (Q2.3 - time zones & speed),"Sep 29, 2020",925,871,73.6156,2,7.125,14314,2.41
1Lv7fQ6xhms,Maths Core - Paper 1 Nov 2020 (Q4 - sequences),"Oct 10, 2022",578,867,55.1554,2,12.808,14972,2.47
XfgiUEB3e0c,Maths Lit - Paper 2 Nov 2019 (Q2.2 - ratios & percentages),"Sep 26, 2020",426,864,40.1766,3,4.482,14586,2.3
pLOm1qqsTWM,Maths Lit - Paper 2 Nov 2019 (Q4.1 - scale),"Oct 4, 2020",261,864,29.7092,1,5.608,13946,2.61
jbqcAglscKs,Maths Lit - Paper 1 Nov 2017 (Q4.1. - mapwork),"Nov 3, 2022",387,860,39.7735,4,10.46,16779,2.49
GChJLKLTfBc,Maths Core - Paper 1 Nov 2020 (Q8 - probability),"Oct 10, 2022",492,856,47.0407,4,10.159,12769,3.3
Uc1JUwNc8qE,Maths Core - Paper 1 Nov 2020 (Q7 part 1 - cubics),"Oct 10, 2022",261,843,29.3506,4,6.826,13487,3.04
keoItgb0oQU,"Maths Lit - Paper 1 Nov 2024 (Q2.2. - instalments, financing & VAT)","Sep 2, 2025",343,843,40.9786,1,6.455,7308,3.95
HizB4Ba_1Mc,Maths Core - Paper 1 Nov 2019 (Q10 - use of derivatives when working with volume/area),"Oct 18, 2020",363,838,37.9135,3,9.039,16413,2.94
d4DYNU3_PPo,"Maths Core - Paper 2 Nov 2019 (Q7 - geometry in a rhombus: finding angles, length & area)","Nov 10, 2020",744,836,76.0938,4,3.569,19203,1.95
oQKqcX0zmgE,Maths Lit - Paper 2 Nov 2019 (Q3.2 - graph interpretation),"Oct 2, 2020",501,829,39.4334,2,12.427,16297,2
sKgaqB_xhd4,"Maths Lit - Paper 1 Nov 2024 (Q4.1. - costing, graphing, time & formula)","Sep 2, 2025",736,829,68.9539,4,14.3,10066,3.73
4oX78DTSmpA,Maths Lit - Paper 1 Nov 2017 (Q4.2. - working with dimensions),"Nov 3, 2022",526,826,43.1895,1,12.693,16574,2.37
Bxg7sKNBuDY,Maths Lit - Paper 2 Nov 2019 (Q4.3 - probability),"Oct 5, 2020",447,824,38.9177,1,7.76,14160,2.43
HS9gfqH8QUI,Maths Core - Paper 2 Nov 2019 (Q8 - geometry: cyclic quads & similarity),"Nov 11, 2020",908,818,76.5474,5,3.692,18803,1.99
r70XlJGBwkU,Maths Core - Paper 1 Nov 2019 (Q5 - functions: exponential & log),"Aug 29, 2020",1294,812,95.2034,10,7.19,14213,2.93
vAafcfSOg_w,Maths Lit - Paper 1 Nov 2019 (Q3.1 - measurement & time),"Aug 27, 2020",698,805,52.9091,3,10.22,12995,2.92
lfbhjZZBH6Q,Maths Core - Paper 1 Nov 2019 (Q7 - function sketching & interpretation),"Sep 29, 2020",747,801,64.1353,1,10.735,17047,2.33
b9bqwBl-p54,Maths Lit - Paper 1 Nov 2017 (Q5.1. - graph reading),"Nov 3, 2022",404,783,28.8569,1,7.473,20190,1.73
EozmA8DpwUo,Maths Core - Paper 1 Nov 2020 (Q6 - calculus/differentiation),"Oct 10, 2022",372,774,29.3038,3,6.449,12647,2.43
YMk5RRFpZwI,"Maths Core - Paper 1 Nov 2019 (Q1.2 + 1.3 - simultaneous equations, factors & multiples)","Aug 23, 2020",478,774,39.1407,1,4.604,11073,3.87
BHo-iCw9a4U,Maths Core - Paper 1 Nov 2019 (Q6 - finance),"Sep 5, 2020",1319,764,94.2326,10,7.431,14008,3.06
K57ulCkmGl4,Maths Core - Paper 1 Nov 2019 (Q8 - cubic graphs),"Sep 12, 2020",1037,759,63.1388,7,11.344,12856,3.22
CXIziYJZ-vU,Maths Lit - Paper 1 Nov 2019 (Q2.1 - map interpretation),"Aug 25, 2020",351,721,28.89,2,6.176,12674,2.41
j3PPUFMKfdA,Maths Lit - Paper 2 Nov 2016 (Q3.1. - volume & conversion),"Jul 12, 2023",596,719,40.5644,5,11.704,9016,3.29
uGIiO5r-gag,Maths Core - Paper 1 Nov 2020 (Q9 - parabolas & functions application),"Oct 10, 2022",544,708,43.0967,1,8.528,15223,2.4
wYKltTDCzys,"Maths Lit - Paper 2 Nov 2024 (5.3. - probability, fractions & data interpretation)","Nov 1, 2025",390,703,27.5051,0,6.993,7363,5.47
UHlNG2U0HuA,"Maths Lit - Paper 2 Nov 2024 (Q4.1. - temperature, percentages & surface area)","Nov 1, 2025",433,697,39.5635,2,4.595,6200,5.23
WTVtpY5EVg0,Maths Lit - Paper 2 Nov 2024 (Q2.2. - map interpretation & elevation),"Nov 1, 2025",412,696,32.7027,2,4.503,6734,4.63
_3_zG5SzZMg,Maths Core - Paper 2 Nov 2019 (Q10.1 - prop theorem proof),"Nov 13, 2020",324,695,24.2026,3,2.407,18443,1.71
qnUmJ5GPTi8,"Maths Lit - Paper 1 Nov 2024 (Q5.1. - conversions, currency & pie charts)","Sep 2, 2025",696,686,50.6718,1,9.908,6892,4.63
sL_PLyBKcy0,"Maths Lit - Paper 1 Nov 2024 (Q3.2. - data analysis, box-and-whisker plots, sampling & IQR)","Sep 2, 2025",500,679,36.6052,1,7.559,7555,4.32
dMOOuovyjQE,Maths Core - Paper 1 Nov 2020 (Q11 - series),"Oct 10, 2022",626,673,39.2919,1,8.248,13761,2.79
Ua4s4AQlL3g,Maths Core - Paper 1 Nov 2020 (Q5 part 2 - functions),"Oct 10, 2022",168,665,15.0847,2,6.458,13326,1.56
ggodm_1F3ds,Maths Core - Paper 1 Nov 2020 (Q13 - maximizing volume),"Oct 10, 2022",315,660,27.1681,3,5.564,8102,4.25
7HJzPqo6A-8,Maths Lit - Paper 1 Nov 2019 (Q2.3 - direction & scale),"Aug 25, 2020",278,639,25.7803,2,5.87,11405,2.26
kYQaR5yZaqs,Maths Core - Paper 1 Nov 2019 (Q9 - derivative applications),"Sep 12, 2020",796,623,54.3388,4,4.899,12177,2.88
x3mtmRVf73Y,Maths Core - Paper 1 Nov 2019 (Q2.1 - sequences),"Aug 24, 2020",887,623,46.3993,2,2.097,10647,2.91
CTuaqYfyazs,Maths Core - Paper 1 Nov 2019 (Q7 - derivatives),"Sep 5, 2020",918,596,56.5786,5,4.722,12899,2.5
40aJknauMP0,Maths Lit - Paper 1 Nov 2019 (Q5.5 - probability & mark up),"Aug 28, 2020",371,595,25.2974,2,4.185,9143,2.79
lT276FErNJo,"Maths Lit - Paper 2 Nov 2024 (Q3.1. - time, measurement & perimeter)","Nov 1, 2025",317,588,30.155,2,4.503,4753,6.46
sBLb1KxDTOE,Maths Core - Paper 2 Nov 2019 (Q9 - geometry in a circle),"Nov 11, 2020",632,580,46.2374,1,2.497,16625,1.58
YiXOcHBDomE,Maths Core - Paper 1 Nov 2020 (Q12 - simultaneous equations & calculus),"Oct 10, 2022",348,543,21.7064,1,4.215,11366,2.38
iZdrj6iYsAs,Maths Lit - Paper 1 Nov 2019 (Q2.2 - distance),"Aug 25, 2020",314,527,22.529,1,4.438,11197,1.97
siejgvr8NbA,"Maths Lit - Paper 2 Nov 2024 (Q4.2. - costing, area & interpretation)","Nov 1, 2025",462,522,34.5381,0,3.773,5084,4.35
_5HWizLWlEM,Maths Lit - Paper 2 Nov 2016 (Q1.1. - fee structures & percentages),"Jun 25, 2023",885,513,29.1198,-1,7.836,7633,3.05
H2u_6BMFf9Q,Maths Lit - Paper 1 Nov 2019 (Q4.2 - probability),"Aug 28, 2020",122,486,9.4111,2,3.271,10202,1.96
muU0cM68xsQ,Maths Core - Paper 1 Nov 2019 (Q2.2 - series),"Aug 24, 2020",513,486,30.8736,1,2.619,10711,2.35
l_uC6EwDT4s,Maths Lit - Paper 1 Nov 2019 (Q3.3 - area),"Aug 27, 2020",159,485,11.7937,0,3.167,10465,1.8
iaeBBGcuQlU,Maths Lit - Paper 1 Nov 2019 (Q4.3 - data handling),"Aug 28, 2020",487,483,26.1003,0,2.318,11074,1.66
dCmLuBqpp24,"Maths Lit - Paper 1 Nov 2016 (Q2.2. - length, area & volume)","Jun 2, 2023",670,471,31.6557,2,6.024,7673,3
smms-gU4GZg,Maths Lit - Paper 1 Nov 2019 (Q4.1 - pie graphs),"Aug 28, 2020",387,465,19.6366,2,2.618,11011,1.77
lFiX6Eq3JFk,"Maths Lit - Paper 1 Nov 2024 (Q4.2. - probability, median & range)","Sep 2, 2025",353,460,21.898,2,3.268,5586,3.58
H5REGI1POig,Maths Lit - Paper 2 Nov 2016 (Q1.2. - data handling & percentage change),"Jul 11, 2023",479,427,14.5046,2,4.673,7573,2.11
brY6LZeg-NU,Maths Lit - Paper 2 Nov 2016 (Q4.3. - graph interpretation),"Jul 16, 2023",311,418,11.1898,4,6.199,7890,1.28
sWNb55_0EAY,Maths Lit - Paper 1 Nov 2019 (Q5.1 - scale),"Aug 28, 2020",209,417,12.7622,3,2.911,10673,1.67
oFLlrOnQP1k,"Maths Lit - Paper 1 Nov 2016 (Q1.2. - income, expenses, profit & break-even graphs)","Jun 2, 2023",731,411,31.7757,1,8.229,6294,2.81
pJelgCjXhTA,"Maths Lit - Paper 2 Nov 2016 (Q2.2. - speed, distance, time & cost)","Jul 12, 2023",996,394,34.1751,0,5.769,8025,2.07
SLn5ME4C9Pg,Maths Lit - Paper 1 Nov 2019 (Q5.2 - graph interpretation),"Aug 28, 2020",465,361,17.7977,0,1.792,10564,1.39
AqV-7VPMahM,"Maths Lit - Paper 1 Nov 2016 (Q2.1. - conversions, length & area)","Jun 2, 2023",742,357,27.6133,1,5.423,7088,2.23
p_9vhXbTa0s,Maths Lit - Paper 1 Nov 2019 (Q5.4 - advert interpretation),"Aug 28, 2020",72,274,2.7931,1,1.118,9622,1.02
1HZhx4aLBP8,"Maths Lit - Paper 2 Nov 2016 (Q4.2. - mapwork, direction & area)","Jul 16, 2023",361,264,9.1069,0,2.093,6140,1.6
6cSGlcf-sKQ,Maths Lit - Paper 1 Nov 2016 (Q3.2. - understanding an instruction booklet/model building),"Jun 6, 2023",312,264,7.9658,3,3.097,6331,1.53
SbXTl3nxIMU,Maths Lit - Paper 2 Nov 2016 (Q3.2. - statistics & data handling),"Jul 16, 2023",664,263,11.5256,2,2.424,6693,1.78
oHTj_c2B_bE,Maths Lit - Paper 1 Nov 2019 (Q5.3 - grid interpretation),"Aug 28, 2020",183,247,6.1017,0,1.904,9938,0.97
LOrOFCF3ct4,Maths Lit - Paper 1 Nov 2016 (Q4.2. - data handling),"Jun 6, 2023",618,230,13.8155,-1,2.9,6996,1.62
usTEi3Lndz8,Maths Lit - Paper 2 Nov 2016 (Q2.1. - data handling & working in billions and millions),"Jul 11, 2023",1063,225,18.586,0,3.745,6724,1.4
b1fiKrviZqs,Maths Lit - Paper 1 Nov 2016 (Q4.1. - data handling),"Jun 6, 2023",447,210,10.0027,1,2.855,5804,1.43
gvyEfnvByZU,Maths Lit - Paper 1 Nov 2016 (Q5 - exchange rates & purchasing power),"Jun 9, 2023",1019,187,15.672,0,1.649,5353,1.68
P4bmmXIlPrw,Maths Lit - Paper 2 Nov 2016 (Q4.1. - graph interpretation & measurement),"Jul 16, 2023",367,152,4.7527,0,1.628,6391,0.74
